"region"	"kjønn"	"alder"	"år"	"Personer"
"K-3002 Moss"	"Menn"	"18-49 år"	"2005"	8806
"K-3002 Moss"	"Menn"	"18-49 år"	"2006"	8848
"K-3002 Moss"	"Menn"	"18-49 år"	"2007"	8909
"K-3002 Moss"	"Menn"	"18-49 år"	"2008"	9079
"K-3002 Moss"	"Menn"	"18-49 år"	"2009"	9331
"K-3002 Moss"	"Menn"	"18-49 år"	"2010"	9423
"K-3002 Moss"	"Menn"	"18-49 år"	"2011"	9505
"K-3002 Moss"	"Menn"	"18-49 år"	"2012"	9630
"K-3002 Moss"	"Menn"	"18-49 år"	"2013"	9762
"K-3002 Moss"	"Menn"	"18-49 år"	"2014"	9834
"K-3002 Moss"	"Menn"	"18-49 år"	"2015"	9898
"K-3002 Moss"	"Menn"	"18-49 år"	"2016"	9959
"K-3002 Moss"	"Menn"	"18-49 år"	"2017"	9953
"K-3002 Moss"	"Menn"	"18-49 år"	"2018"	10005
"K-3002 Moss"	"Menn"	"18-49 år"	"2019"	9929
"K-3002 Moss"	"Menn"	"18-49 år"	"2020"	9940
"K-3002 Moss"	"Menn"	"18-49 år"	"2021"	9992
"K-3002 Moss"	"Menn"	"18-49 år"	"2022"	10045
"K-3002 Moss"	"Menn"	"18-49 år"	"2023"	10198
"K-3002 Moss"	"Menn"	"50-66 år"	"1986"	3129
"K-3002 Moss"	"Menn"	"50-66 år"	"1987"	3157
"K-3002 Moss"	"Menn"	"50-66 år"	"1988"	3152
"K-3002 Moss"	"Menn"	"50-66 år"	"1989"	3175
"K-3002 Moss"	"Menn"	"50-66 år"	"1990"	3112
"K-3002 Moss"	"Menn"	"50-66 år"	"1991"	3104
"K-3002 Moss"	"Menn"	"50-66 år"	"1992"	3061
"K-3002 Moss"	"Menn"	"50-66 år"	"1993"	3078
"K-3002 Moss"	"Menn"	"50-66 år"	"1994"	3108
"K-3002 Moss"	"Menn"	"50-66 år"	"1995"	3208
"K-3002 Moss"	"Menn"	"50-66 år"	"1996"	3345
"K-3002 Moss"	"Menn"	"50-66 år"	"1997"	3495
"K-3002 Moss"	"Menn"	"50-66 år"	"1998"	3629
"K-3002 Moss"	"Menn"	"50-66 år"	"1999"	3718
"K-3002 Moss"	"Menn"	"50-66 år"	"2000"	3786
"K-3002 Moss"	"Menn"	"50-66 år"	"2001"	3988
"K-3002 Moss"	"Menn"	"50-66 år"	"2002"	4124
"K-3002 Moss"	"Menn"	"50-66 år"	"2003"	4217
"K-3002 Moss"	"Menn"	"50-66 år"	"2004"	4249
"K-3002 Moss"	"Menn"	"50-66 år"	"2005"	4251
"K-3002 Moss"	"Menn"	"50-66 år"	"2006"	4304
"K-3002 Moss"	"Menn"	"50-66 år"	"2007"	4363
"K-3002 Moss"	"Menn"	"50-66 år"	"2008"	4433
"K-3002 Moss"	"Menn"	"50-66 år"	"2009"	4529
"K-3002 Moss"	"Menn"	"50-66 år"	"2010"	4652
"K-3002 Moss"	"Menn"	"50-66 år"	"2011"	4777
"K-3002 Moss"	"Menn"	"50-66 år"	"2012"	4890
"K-3002 Moss"	"Menn"	"50-66 år"	"2013"	4900
"K-3002 Moss"	"Menn"	"50-66 år"	"2014"	4992
"K-3002 Moss"	"Menn"	"50-66 år"	"2015"	5087
"K-3002 Moss"	"Menn"	"50-66 år"	"2016"	5193
"K-3002 Moss"	"Menn"	"50-66 år"	"2017"	5318
"K-3002 Moss"	"Menn"	"50-66 år"	"2018"	5339
"K-3002 Moss"	"Menn"	"50-66 år"	"2019"	5448
"K-3002 Moss"	"Menn"	"50-66 år"	"2020"	5598
"K-3002 Moss"	"Menn"	"50-66 år"	"2021"	5709
"K-3002 Moss"	"Menn"	"50-66 år"	"2022"	5819
"K-3002 Moss"	"Menn"	"50-66 år"	"2023"	5913
"K-3002 Moss"	"Menn"	"67-79 år"	"1986"	1575
"K-3002 Moss"	"Menn"	"67-79 år"	"1987"	1571
"K-3002 Moss"	"Menn"	"67-79 år"	"1988"	1613
"K-3002 Moss"	"Menn"	"67-79 år"	"1989"	1629
"K-3002 Moss"	"Menn"	"67-79 år"	"1990"	1654
"K-3002 Moss"	"Menn"	"67-79 år"	"1991"	1687
"K-3002 Moss"	"Menn"	"67-79 år"	"1992"	1709
"K-3002 Moss"	"Menn"	"67-79 år"	"1993"	1721
"K-3002 Moss"	"Menn"	"67-79 år"	"1994"	1695
"K-3002 Moss"	"Menn"	"67-79 år"	"1995"	1711
"K-3002 Moss"	"Menn"	"67-79 år"	"1996"	1708
"K-3002 Moss"	"Menn"	"67-79 år"	"1997"	1705
"K-3002 Moss"	"Menn"	"67-79 år"	"1998"	1715
"K-3002 Moss"	"Menn"	"67-79 år"	"1999"	1736
"K-3002 Moss"	"Menn"	"67-79 år"	"2000"	1768
"K-3002 Moss"	"Menn"	"67-79 år"	"2001"	1761
"K-3002 Moss"	"Menn"	"67-79 år"	"2002"	1749
"K-3002 Moss"	"Menn"	"67-79 år"	"2003"	1734
"K-3002 Moss"	"Menn"	"67-79 år"	"2004"	1770
"K-3002 Moss"	"Menn"	"67-79 år"	"2005"	1831
"K-3002 Moss"	"Menn"	"67-79 år"	"2006"	1859
"K-3002 Moss"	"Menn"	"67-79 år"	"2007"	1875
"K-3002 Moss"	"Menn"	"67-79 år"	"2008"	1921
"K-3002 Moss"	"Menn"	"67-79 år"	"2009"	1921
"K-3002 Moss"	"Menn"	"67-79 år"	"2010"	1962
"K-3002 Moss"	"Menn"	"67-79 år"	"2011"	1991
"K-3002 Moss"	"Menn"	"67-79 år"	"2012"	2115
"K-3002 Moss"	"Menn"	"67-79 år"	"2013"	2263
"K-3002 Moss"	"Menn"	"67-79 år"	"2014"	2419
"K-3002 Moss"	"Menn"	"67-79 år"	"2015"	2568
"K-3002 Moss"	"Menn"	"67-79 år"	"2016"	2676
"K-3002 Moss"	"Menn"	"67-79 år"	"2017"	2717
"K-3002 Moss"	"Menn"	"67-79 år"	"2018"	2822
"K-3002 Moss"	"Menn"	"67-79 år"	"2019"	2887
"K-3002 Moss"	"Menn"	"67-79 år"	"2020"	2978
"K-3002 Moss"	"Menn"	"67-79 år"	"2021"	3036
"K-3002 Moss"	"Menn"	"67-79 år"	"2022"	3122
"K-3002 Moss"	"Menn"	"67-79 år"	"2023"	3209
"K-3002 Moss"	"Menn"	"80-89 år"	"1986"	275
"K-3002 Moss"	"Menn"	"80-89 år"	"1987"	275
"K-3002 Moss"	"Menn"	"80-89 år"	"1988"	310
"K-3002 Moss"	"Menn"	"80-89 år"	"1989"	318
"K-3002 Moss"	"Menn"	"80-89 år"	"1990"	336
"K-3002 Moss"	"Menn"	"80-89 år"	"1991"	348
"K-3002 Moss"	"Menn"	"80-89 år"	"1992"	358
"K-3002 Moss"	"Menn"	"80-89 år"	"1993"	376
"K-3002 Moss"	"Menn"	"80-89 år"	"1994"	386
"K-3002 Moss"	"Menn"	"80-89 år"	"1995"	415
"K-3002 Moss"	"Menn"	"80-89 år"	"1996"	412
"K-3002 Moss"	"Menn"	"80-89 år"	"1997"	429
"K-3002 Moss"	"Menn"	"80-89 år"	"1998"	456
"K-3002 Moss"	"Menn"	"80-89 år"	"1999"	475
"K-3002 Moss"	"Menn"	"80-89 år"	"2000"	482
"K-3002 Moss"	"Menn"	"80-89 år"	"2001"	479
"K-3002 Moss"	"Menn"	"80-89 år"	"2002"	483
"K-3002 Moss"	"Menn"	"80-89 år"	"2003"	527
"K-3002 Moss"	"Menn"	"80-89 år"	"2004"	535
"K-3002 Moss"	"Menn"	"80-89 år"	"2005"	534
"K-3002 Moss"	"Menn"	"80-89 år"	"2006"	574
"K-3002 Moss"	"Menn"	"80-89 år"	"2007"	567
"K-3002 Moss"	"Menn"	"80-89 år"	"2008"	575
"K-3002 Moss"	"Menn"	"80-89 år"	"2009"	599
"K-3002 Moss"	"Menn"	"80-89 år"	"2010"	601
"K-3002 Moss"	"Menn"	"80-89 år"	"2011"	623
"K-3002 Moss"	"Menn"	"80-89 år"	"2012"	637
"K-3002 Moss"	"Menn"	"80-89 år"	"2013"	671
"K-3002 Moss"	"Menn"	"80-89 år"	"2014"	667
"K-3002 Moss"	"Menn"	"80-89 år"	"2015"	690
"K-3002 Moss"	"Menn"	"80-89 år"	"2016"	708
"K-3002 Moss"	"Menn"	"80-89 år"	"2017"	750
"K-3002 Moss"	"Menn"	"80-89 år"	"2018"	799
"K-3002 Moss"	"Menn"	"80-89 år"	"2019"	820
"K-3002 Moss"	"Menn"	"80-89 år"	"2020"	832
"K-3002 Moss"	"Menn"	"80-89 år"	"2021"	868
"K-3002 Moss"	"Menn"	"80-89 år"	"2022"	867
"K-3002 Moss"	"Menn"	"80-89 år"	"2023"	903
"K-3002 Moss"	"Menn"	"90 år og eldre"	"1986"	25
"K-3002 Moss"	"Menn"	"90 år og eldre"	"1987"	18
"K-3002 Moss"	"Menn"	"90 år og eldre"	"1988"	24
"K-3002 Moss"	"Menn"	"90 år og eldre"	"1989"	28
"K-3002 Moss"	"Menn"	"90 år og eldre"	"1990"	32
"K-3002 Moss"	"Menn"	"90 år og eldre"	"1991"	29
"K-3002 Moss"	"Menn"	"90 år og eldre"	"1992"	31
"K-3002 Moss"	"Menn"	"90 år og eldre"	"1993"	35
"K-3002 Moss"	"Menn"	"90 år og eldre"	"1994"	44
"K-3002 Moss"	"Menn"	"90 år og eldre"	"1995"	40
"K-3002 Moss"	"Menn"	"90 år og eldre"	"1996"	39
"K-3002 Moss"	"Menn"	"90 år og eldre"	"1997"	40
"K-3002 Moss"	"Menn"	"90 år og eldre"	"1998"	35
"K-3002 Moss"	"Menn"	"90 år og eldre"	"1999"	41
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2000"	46
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2001"	44
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2002"	44
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2003"	39
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2004"	45
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2005"	50
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2006"	51
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2007"	58
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2008"	66
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2009"	69
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2010"	69
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2011"	73
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2012"	77
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2013"	88
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2014"	92
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2015"	98
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2016"	104
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2017"	102
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2018"	113
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2019"	119
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2020"	125
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2021"	128
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2022"	148
"K-3002 Moss"	"Menn"	"90 år og eldre"	"2023"	156
"K-3002 Moss"	"Kvinner"	"0-17 år"	"1986"	4134
"K-3002 Moss"	"Kvinner"	"0-17 år"	"1987"	4023
"K-3002 Moss"	"Kvinner"	"0-17 år"	"1988"	3991
"K-3002 Moss"	"Kvinner"	"0-17 år"	"1989"	3968
"K-3002 Moss"	"Kvinner"	"0-17 år"	"1990"	3870
"K-3002 Moss"	"Kvinner"	"0-17 år"	"1991"	3802
"K-3002 Moss"	"Kvinner"	"0-17 år"	"1992"	3780
"K-3002 Moss"	"Kvinner"	"0-17 år"	"1993"	3781
"K-3002 Moss"	"Kvinner"	"0-17 år"	"1994"	3813
"K-3002 Moss"	"Kvinner"	"0-17 år"	"1995"	3870
"K-3002 Moss"	"Kvinner"	"0-17 år"	"1996"	3937
"K-3002 Moss"	"Kvinner"	"0-17 år"	"1997"	3961
"K-3002 Moss"	"Kvinner"	"0-17 år"	"1998"	4062
"K-3002 Moss"	"Kvinner"	"0-17 år"	"1999"	4155
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2000"	4208
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2001"	4353
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2002"	4393
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2003"	4491
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2004"	4526
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2005"	4577
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2006"	4570
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2007"	4593
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2008"	4640
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2009"	4682
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2010"	4762
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2011"	4742
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2012"	4790
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2013"	4815
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2014"	4819
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2015"	4772
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2016"	4805
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2017"	4813
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2018"	4850
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2019"	4782
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2020"	4790
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2021"	4762
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2022"	4792
"K-3002 Moss"	"Kvinner"	"0-17 år"	"2023"	4830
"K-3002 Moss"	"Kvinner"	"18-49 år"	"1986"	8151
"K-3002 Moss"	"Kvinner"	"18-49 år"	"1987"	8284
"K-3002 Moss"	"Kvinner"	"18-49 år"	"1988"	8381
"K-3002 Moss"	"Kvinner"	"18-49 år"	"1989"	8449
"K-3002 Moss"	"Kvinner"	"18-49 år"	"1990"	8414
"K-3002 Moss"	"Kvinner"	"18-49 år"	"1991"	8519
"K-3002 Moss"	"Kvinner"	"18-49 år"	"1992"	8580
"K-3002 Moss"	"Kvinner"	"18-49 år"	"1993"	8681
"K-3002 Moss"	"Kvinner"	"18-49 år"	"1994"	8686
"K-3002 Moss"	"Kvinner"	"18-49 år"	"1995"	8701
"K-3002 Moss"	"Kvinner"	"18-49 år"	"1996"	8675
"K-3002 Moss"	"Kvinner"	"18-49 år"	"1997"	8613
"K-3002 Moss"	"Kvinner"	"18-49 år"	"1998"	8635
"K-3002 Moss"	"Kvinner"	"18-49 år"	"1999"	8724
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2000"	8765
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2001"	8808
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2002"	8795
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2003"	8842
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2004"	8841
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2005"	8818
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2006"	8818
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2007"	8903
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2008"	8869
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2009"	9060
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2010"	9129
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2011"	9177
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2012"	9365
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2013"	9463
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2014"	9467
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2015"	9522
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2016"	9508
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2017"	9586
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2018"	9593
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2019"	9484
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2020"	9400
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2021"	9380
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2022"	9447
"K-3002 Moss"	"Kvinner"	"18-49 år"	"2023"	9629
"K-3002 Moss"	"Kvinner"	"50-66 år"	"1986"	3296
"K-3002 Moss"	"Kvinner"	"50-66 år"	"1987"	3268
"K-3002 Moss"	"Kvinner"	"50-66 år"	"1988"	3279
"K-3002 Moss"	"Kvinner"	"50-66 år"	"1989"	3294
"K-3002 Moss"	"Kvinner"	"50-66 år"	"1990"	3256
"K-3002 Moss"	"Kvinner"	"50-66 år"	"1991"	3259
"K-3002 Moss"	"Kvinner"	"50-66 år"	"1992"	3215
"K-3002 Moss"	"Kvinner"	"50-66 år"	"1993"	3244
"K-3002 Moss"	"Kvinner"	"50-66 år"	"1994"	3244
"K-3002 Moss"	"Kvinner"	"50-66 år"	"1995"	3342
"K-3002 Moss"	"Kvinner"	"50-66 år"	"1996"	3447
"K-3002 Moss"	"Kvinner"	"50-66 år"	"1997"	3609
"K-3002 Moss"	"Kvinner"	"50-66 år"	"1998"	3741
"K-3002 Moss"	"Kvinner"	"50-66 år"	"1999"	3874
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2000"	4004
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2001"	4162
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2002"	4287
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2003"	4377
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2004"	4468
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2005"	4540
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2006"	4623
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2007"	4692
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2008"	4784
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2009"	4861
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2010"	4928
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2011"	4979
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2012"	5011
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2013"	5021
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2014"	5029
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2015"	5140
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2016"	5226
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2017"	5313
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2018"	5422
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2019"	5623
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2020"	5761
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2021"	5843
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2022"	5924
"K-3002 Moss"	"Kvinner"	"50-66 år"	"2023"	6093
"K-3002 Moss"	"Kvinner"	"67-79 år"	"1986"	2196
"K-3002 Moss"	"Kvinner"	"67-79 år"	"1987"	2218
"K-3002 Moss"	"Kvinner"	"67-79 år"	"1988"	2246
"K-3002 Moss"	"Kvinner"	"67-79 år"	"1989"	2286
"K-3002 Moss"	"Kvinner"	"67-79 år"	"1990"	2334
"K-3002 Moss"	"Kvinner"	"67-79 år"	"1991"	2324
"K-3002 Moss"	"Kvinner"	"67-79 år"	"1992"	2346
"K-3002 Moss"	"Kvinner"	"67-79 år"	"1993"	2345
"K-3002 Moss"	"Kvinner"	"67-79 år"	"1994"	2340
"K-3002 Moss"	"Kvinner"	"67-79 år"	"1995"	2312
"K-3002 Moss"	"Kvinner"	"67-79 år"	"1996"	2273
"K-3002 Moss"	"Kvinner"	"67-79 år"	"1997"	2256
"K-3002 Moss"	"Kvinner"	"67-79 år"	"1998"	2256
"K-3002 Moss"	"Kvinner"	"67-79 år"	"1999"	2249
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2000"	2268
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2001"	2236
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2002"	2196
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2003"	2158
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2004"	2159
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2005"	2146
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2006"	2181
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2007"	2209
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2008"	2261
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2009"	2264
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2010"	2349
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2011"	2375
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2012"	2449
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2013"	2562
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2014"	2730
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2015"	2896
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2016"	3033
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2017"	3155
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2018"	3272
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2019"	3342
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2020"	3439
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2021"	3525
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2022"	3646
"K-3002 Moss"	"Kvinner"	"67-79 år"	"2023"	3726
"K-3002 Moss"	"Kvinner"	"80-89 år"	"1986"	621
"K-3002 Moss"	"Kvinner"	"80-89 år"	"1987"	638
"K-3002 Moss"	"Kvinner"	"80-89 år"	"1988"	645
"K-3002 Moss"	"Kvinner"	"80-89 år"	"1989"	670
"K-3002 Moss"	"Kvinner"	"80-89 år"	"1990"	717
"K-3002 Moss"	"Kvinner"	"80-89 år"	"1991"	741
"K-3002 Moss"	"Kvinner"	"80-89 år"	"1992"	788
"K-3002 Moss"	"Kvinner"	"80-89 år"	"1993"	820
"K-3002 Moss"	"Kvinner"	"80-89 år"	"1994"	853
"K-3002 Moss"	"Kvinner"	"80-89 år"	"1995"	846
"K-3002 Moss"	"Kvinner"	"80-89 år"	"1996"	890
"K-3002 Moss"	"Kvinner"	"80-89 år"	"1997"	930
"K-3002 Moss"	"Kvinner"	"80-89 år"	"1998"	964
"K-3002 Moss"	"Kvinner"	"80-89 år"	"1999"	982
"K-3002 Moss"	"Kvinner"	"80-89 år"	"2000"	976
"K-3002 Moss"	"Kvinner"	"80-89 år"	"2001"	998
"K-3002 Moss"	"Kvinner"	"80-89 år"	"2002"	1008
"K-3002 Moss"	"Kvinner"	"80-89 år"	"2003"	1029
"K-3002 Moss"	"Kvinner"	"80-89 år"	"2004"	1025
"K-3002 Moss"	"Kvinner"	"80-89 år"	"2005"	1073
"K-3002 Moss"	"Kvinner"	"80-89 år"	"2006"	1071
"K-3002 Moss"	"Kvinner"	"80-89 år"	"2007"	1071
"K-3002 Moss"	"Kvinner"	"80-89 år"	"2008"	1071
"K-3002 Moss"	"Kvinner"	"80-89 år"	"2009"	1062
"K-3002 Moss"	"Kvinner"	"80-89 år"	"2010"	1059
"K-3002 Moss"	"Kvinner"	"80-89 år"	"2011"	1098
"K-3002 Moss"	"Kvinner"	"80-89 år"	"2012"	1114
"K-3002 Moss"	"Kvinner"	"80-89 år"	"2013"	1085
"K-3002 Moss"	"Kvinner"	"80-89 år"	"2014"	1078
"K-3002 Moss"	"Kvinner"	"80-89 år"	"2015"	1048
"K-3002 Moss"	"Kvinner"	"80-89 år"	"2016"	1032
"K-3002 Moss"	"Kvinner"	"80-89 år"	"2017"	1035
