region;fagutdanning;alder;sektor;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
K.3002 Moss;Hjelpepleier;Alle aldre;Statsforvaltningen;58.0;70.0;64.0;66.0;36.0;25.0;32.0;33.0;31.0;34.0;32.0;32.0;33.0;33.0;30.0
K.3002 Moss;Hjelpepleier;Alle aldre;Privat sektor og offentlige foretak;39.0;41.0;37.0;33.0;32.0;38.0;77.0;71.0;66.0;64.0;37.0;29.0;25.0;23.0;26.0
K.3002 Moss;Hjelpepleier;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3002 Moss;Helsefagarbeider;Alle aldre;Kommuneforvaltningen;0.0;166.0;11.0;35.0;57.0;96.0;103.0;148.0;184.0;222.0;282.0;329.0;348.0;382.0;409.0
K.3002 Moss;Helsefagarbeider;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3002 Moss;Helsefagarbeider;Alle aldre;Statsforvaltningen;0.0;0.0;0.0;0.0;3.0;3.0;3.0;3.0;3.0;5.0;4.0;7.0;3.0;3.0;16.0
K.3002 Moss;Helsefagarbeider;Alle aldre;Privat sektor og offentlige foretak;0.0;0.0;0.0;21.0;21.0;21.0;25.0;29.0;36.0;43.0;27.0;22.0;17.0;20.0;19.0
K.3002 Moss;Helsefagarbeider;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3002 Moss;Omsorgsarbeider;Alle aldre;Kommuneforvaltningen;135.0;138.0;130.0;129.0;128.0;104.0;94.0;60.0;57.0;39.0;33.0;27.0;29.0;28.0;26.0
K.3002 Moss;Omsorgsarbeider;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3002 Moss;Omsorgsarbeider;Alle aldre;Statsforvaltningen;0.0;0.0;0.0;0.0;0.0;3.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3002 Moss;Omsorgsarbeider;Alle aldre;Privat sektor og offentlige foretak;6.0;6.0;6.0;6.0;6.0;6.0;11.0;9.0;14.0;12.0;6.0;6.0;4.0;3.0;6.0
K.3002 Moss;Omsorgsarbeider;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3002 Moss;Sykepleier;Alle aldre;Kommuneforvaltningen;226.0;224.0;230.0;257.0;293.0;289.0;262.0;258.0;275.0;289.0;309.0;328.0;338.0;345.0;359.0
K.3002 Moss;Sykepleier;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3002 Moss;Sykepleier;Alle aldre;Statsforvaltningen;311.0;342.0;364.0;337.0;197.0;177.0;238.0;246.0;246.0;251.0;252.0;258.0;252.0;252.0;281.0
K.3002 Moss;Sykepleier;Alle aldre;Privat sektor og offentlige foretak;35.0;49.0;54.0;49.0;58.0;64.0;98.0;103.0;108.0;111.0;71.0;67.0;65.0;66.0;65.0
K.3002 Moss;Sykepleier;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3002 Moss;Lege uten spesialitet;Alle aldre;Kommuneforvaltningen;10.0;11.0;6.0;6.0;9.0;10.0;8.0;9.0;12.0;12.0;13.0;16.0;19.0;19.0;21.0
K.3002 Moss;Lege uten spesialitet;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3002 Moss;Lege uten spesialitet;Alle aldre;Statsforvaltningen;24.0;26.0;36.0;35.0;8.0;13.0;17.0;24.0;21.0;19.0;24.0;28.0;24.0;24.0;27.0
K.3002 Moss;Lege uten spesialitet;Alle aldre;Privat sektor og offentlige foretak;18.0;22.0;16.0;18.0;15.0;18.0;20.0;17.0;14.0;23.0;19.0;17.0;19.0;14.0;23.0
K.3002 Moss;Lege uten spesialitet;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3002 Moss;Lege med spesialitet;Alle aldre;Kommuneforvaltningen;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;7.0;3.0;8.0;4.0
K.3002 Moss;Lege med spesialitet;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3002 Moss;Lege med spesialitet;Alle aldre;Statsforvaltningen;23.0;26.0;30.0;22.0;12.0;17.0;23.0;23.0;35.0;38.0;38.0;32.0;26.0;26.0;41.0
K.3002 Moss;Lege med spesialitet;Alle aldre;Privat sektor og offentlige foretak;51.0;48.0;50.0;55.0;55.0;57.0;54.0;54.0;55.0;55.0;58.0;58.0;59.0;62.0;65.0
K.3002 Moss;Lege med spesialitet;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3003 Sarpsborg;Hjelpepleier;Alle aldre;Kommuneforvaltningen;549.0;538.0;531.0;520.0;491.0;478.0;462.0;418.0;392.0;384.0;352.0;334.0;313.0;282.0;272.0
K.3003 Sarpsborg;Hjelpepleier;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3003 Sarpsborg;Hjelpepleier;Alle aldre;Statsforvaltningen;38.0;14.0;13.0;12.0;14.0;8.0;10.0;246.0;225.0;207.0;177.0;171.0;163.0;158.0;138.0
K.3003 Sarpsborg;Hjelpepleier;Alle aldre;Privat sektor og offentlige foretak;24.0;21.0;20.0;24.0;22.0;26.0;27.0;29.0;26.0;25.0;25.0;24.0;24.0;24.0;19.0
K.3003 Sarpsborg;Hjelpepleier;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3003 Sarpsborg;Helsefagarbeider;Alle aldre;Kommuneforvaltningen;0.0;10.0;20.0;50.0;89.0;158.0;237.0;268.0;324.0;374.0;422.0;450.0;505.0;583.0;584.0
K.3003 Sarpsborg;Helsefagarbeider;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3003 Sarpsborg;Helsefagarbeider;Alle aldre;Statsforvaltningen;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.0;72.0;90.0;105.0;120.0;164.0;181.0;229.0
K.3003 Sarpsborg;Helsefagarbeider;Alle aldre;Privat sektor og offentlige foretak;0.0;0.0;0.0;7.0;7.0;4.0;7.0;6.0;7.0;11.0;7.0;8.0;7.0;7.0;7.0
K.3003 Sarpsborg;Helsefagarbeider;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3003 Sarpsborg;Omsorgsarbeider;Alle aldre;Kommuneforvaltningen;157.0;159.0;164.0;159.0;155.0;140.0;101.0;89.0;80.0;74.0;73.0;69.0;61.0;58.0;57.0
K.3003 Sarpsborg;Omsorgsarbeider;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3003 Sarpsborg;Omsorgsarbeider;Alle aldre;Statsforvaltningen;3.0;3.0;7.5;7.5;7.5;7.5;7.5;10.0;12.0;10.0;7.0;8.0;12.0;7.0;7.0
K.3003 Sarpsborg;Omsorgsarbeider;Alle aldre;Privat sektor og offentlige foretak;13.0;11.0;14.0;10.0;9.0;7.0;7.0;9.0;8.0;8.0;6.0;6.0;8.0;8.0;5.0
K.3003 Sarpsborg;Omsorgsarbeider;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3003 Sarpsborg;Sykepleier;Alle aldre;Kommuneforvaltningen;363.0;350.0;350.0;375.0;405.0;422.0;457.0;472.0;484.0;515.0;519.0;512.0;523.0;535.0;584.0
K.3003 Sarpsborg;Sykepleier;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3003 Sarpsborg;Sykepleier;Alle aldre;Statsforvaltningen;128.0;69.0;72.0;71.0;80.0;79.0;52.0;1553.0;1531.0;1524.0;1482.0;1548.0;1598.0;1638.0;1665.0
K.3003 Sarpsborg;Sykepleier;Alle aldre;Privat sektor og offentlige foretak;27.0;20.0;22.0;25.0;21.0;22.0;25.0;27.0;28.0;26.0;30.0;28.0;25.0;25.0;25.0
K.3003 Sarpsborg;Sykepleier;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3003 Sarpsborg;Lege uten spesialitet;Alle aldre;Kommuneforvaltningen;11.0;13.0;14.0;17.0;17.0;16.0;23.0;22.0;24.0;28.0;31.0;26.0;36.0;30.0;25.0
K.3003 Sarpsborg;Lege uten spesialitet;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3003 Sarpsborg;Lege uten spesialitet;Alle aldre;Statsforvaltningen;4.0;308.5;3.0;4.0;308.5;3.0;308.5;291.0;300.0;317.0;340.0;328.0;349.0;353.0;351.0
K.3003 Sarpsborg;Lege uten spesialitet;Alle aldre;Privat sektor og offentlige foretak;19.0;22.0;21.0;20.0;17.0;18.0;16.0;14.0;16.0;14.0;16.0;17.0;17.0;17.0;20.0
K.3003 Sarpsborg;Lege uten spesialitet;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3003 Sarpsborg;Lege med spesialitet;Alle aldre;Kommuneforvaltningen;3.0;6.0;6.0;6.0;7.0;6.0;7.0;6.0;4.0;5.0;6.0;6.0;6.0;10.0;14.0
K.3003 Sarpsborg;Lege med spesialitet;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3003 Sarpsborg;Lege med spesialitet;Alle aldre;Statsforvaltningen;9.0;4.0;3.0;3.0;4.0;3.0;4.0;233.0;245.0;274.0;294.0;313.0;318.0;323.0;337.0
K.3003 Sarpsborg;Lege med spesialitet;Alle aldre;Privat sektor og offentlige foretak;34.0;32.0;36.0;40.0;38.0;36.0;40.0;37.0;40.0;43.0;46.0;45.0;40.0;40.0;42.0
K.3003 Sarpsborg;Lege med spesialitet;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3004 Fredrikstad;Hjelpepleier;Alle aldre;Kommuneforvaltningen;662.0;647.0;640.0;608.0;579.0;539.0;498.0;534.0;500.0;458.0;427.0;412.0;388.0;363.0;347.0
K.3004 Fredrikstad;Hjelpepleier;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3004 Fredrikstad;Hjelpepleier;Alle aldre;Statsforvaltningen;327.0;330.0;330.0;320.0;321.0;303.0;267.0;12.0;11.0;13.0;15.0;15.0;267.0;267.0;10.0
K.3004 Fredrikstad;Hjelpepleier;Alle aldre;Privat sektor og offentlige foretak;39.0;39.0;40.0;43.0;44.0;39.0;48.0;45.0;45.0;40.0;38.0;34.0;35.0;35.0;35.0
K.3004 Fredrikstad;Hjelpepleier;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3004 Fredrikstad;Helsefagarbeider;Alle aldre;Kommuneforvaltningen;0.0;17.0;30.0;54.0;98.0;141.0;204.0;289.0;369.0;423.0;480.0;555.0;605.0;662.0;705.0
K.3004 Fredrikstad;Helsefagarbeider;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3004 Fredrikstad;Helsefagarbeider;Alle aldre;Statsforvaltningen;0.0;3.0;3.0;5.0;6.0;25.0;43.0;0.0;3.0;3.0;3.0;0.0;3.0;3.0;5.0
K.3004 Fredrikstad;Helsefagarbeider;Alle aldre;Privat sektor og offentlige foretak;0.0;0.0;0.0;5.5;3.0;4.0;4.0;5.0;6.0;10.0;11.0;12.0;13.0;21.0;20.0
K.3004 Fredrikstad;Helsefagarbeider;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3004 Fredrikstad;Omsorgsarbeider;Alle aldre;Kommuneforvaltningen;214.0;219.0;214.0;205.0;202.0;161.0;123.0;115.0;103.0;95.0;88.0;78.0;74.0;73.0;60.0
K.3004 Fredrikstad;Omsorgsarbeider;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3004 Fredrikstad;Omsorgsarbeider;Alle aldre;Statsforvaltningen;11.0;15.0;13.0;14.0;13.0;10.0;8.0;0.0;3.0;3.0;0.0;0.0;5.5;0.0;0.0
K.3004 Fredrikstad;Omsorgsarbeider;Alle aldre;Privat sektor og offentlige foretak;5.0;11.0;7.0;6.0;6.0;11.0;11.0;16.0;10.0;7.0;9.0;7.0;8.0;9.0;7.0
K.3004 Fredrikstad;Omsorgsarbeider;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3004 Fredrikstad;Sykepleier;Alle aldre;Kommuneforvaltningen;450.0;483.0;486.0;505.0;525.0;559.0;593.0;631.0;667.0;701.0;717.0;721.0;728.0;743.0;698.0
K.3004 Fredrikstad;Sykepleier;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3004 Fredrikstad;Sykepleier;Alle aldre;Statsforvaltningen;1294.0;1258.0;1321.0;1335.0;1437.0;1416.0;1398.0;54.0;54.0;54.0;54.0;47.0;1258.0;1258.0;52.0
K.3004 Fredrikstad;Sykepleier;Alle aldre;Privat sektor og offentlige foretak;30.0;40.0;43.0;39.0;51.0;50.0;57.0;64.0;62.0;62.0;57.0;69.0;69.0;76.0;93.0
K.3004 Fredrikstad;Sykepleier;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3004 Fredrikstad;Lege uten spesialitet;Alle aldre;Kommuneforvaltningen;8.0;8.0;10.0;10.0;12.0;16.0;11.0;25.0;26.0;25.0;28.0;28.0;33.0;24.0;33.0
K.3004 Fredrikstad;Lege uten spesialitet;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3004 Fredrikstad;Lege uten spesialitet;Alle aldre;Statsforvaltningen;186.0;183.0;191.0;212.0;256.0;248.0;256.0;8.0;10.0;8.0;10.0;10.0;183.0;183.0;4.0
K.3004 Fredrikstad;Lege uten spesialitet;Alle aldre;Privat sektor og offentlige foretak;27.0;38.0;40.0;33.0;39.0;34.0;34.0;32.0;30.0;31.0;31.0;37.0;38.0;38.0;46.0
K.3004 Fredrikstad;Lege uten spesialitet;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3004 Fredrikstad;Lege med spesialitet;Alle aldre;Kommuneforvaltningen;7.0;6.0;6.0;4.0;3.0;5.0;5.0;8.0;11.0;7.0;5.0;5.0;3.0;3.0;4.0
K.3004 Fredrikstad;Lege med spesialitet;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3004 Fredrikstad;Lege med spesialitet;Alle aldre;Statsforvaltningen;207.0;231.0;221.0;210.0;215.0;234.0;236.0;10.0;11.0;12.0;13.0;12.0;207.0;207.0;15.0
K.3004 Fredrikstad;Lege med spesialitet;Alle aldre;Privat sektor og offentlige foretak;77.0;73.0;81.0;88.0;92.0;85.0;90.0;89.0;89.0;94.0;98.0;98.0;107.0;109.0;116.0
K.3004 Fredrikstad;Lege med spesialitet;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3005 Drammen;Hjelpepleier;Alle aldre;Kommuneforvaltningen;945.0;933.0;921.0;901.0;867.0;835.0;796.0;732.0;686.0;655.0;614.0;568.0;512.0;498.0;456.0
K.3005 Drammen;Hjelpepleier;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
K.3005 Drammen;Hjelpepleier;Alle aldre;Statsforvaltningen;262.0;190.0;190.0;244.0;223.0;209.0;192.0;192.0;190.0;179.0;168.0;161.0;145.0;140.0;142.0
K.3005 Drammen;Hjelpepleier;Alle aldre;Privat sektor og offentlige foretak;44.0;44.0;44.0;64.0;44.0;44.0;44.0;54.0;50.0;44.0;38.0;36.0;44.0;44.0;31.0
K.3005 Drammen;Hjelpepleier;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3005 Drammen;Helsefagarbeider;Alle aldre;Kommuneforvaltningen;0.0;4.0;304.5;304.5;304.5;140.0;202.0;241.0;274.0;335.0;398.0;476.0;537.0;625.0;664.0
K.3005 Drammen;Helsefagarbeider;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3005 Drammen;Helsefagarbeider;Alle aldre;Statsforvaltningen;0.0;0.0;27.5;4.0;7.0;10.0;16.0;24.0;31.0;38.0;42.0;49.0;55.0;64.0;73.0
K.3005 Drammen;Helsefagarbeider;Alle aldre;Privat sektor og offentlige foretak;0.0;0.0;0.0;12.0;12.0;12.0;12.0;6.0;13.0;20.0;13.0;12.0;12.0;12.0;22.0
K.3005 Drammen;Helsefagarbeider;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3005 Drammen;Omsorgsarbeider;Alle aldre;Kommuneforvaltningen;103.0;105.0;97.0;96.0;97.0;97.0;83.0;66.0;62.0;54.0;57.0;47.0;44.0;39.0;38.0
K.3005 Drammen;Omsorgsarbeider;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3005 Drammen;Omsorgsarbeider;Alle aldre;Statsforvaltningen;7.0;9.0;6.0;9.0;8.0;8.0;6.0;6.0;7.0;7.0;7.0;7.0;6.0;6.0;6.0
K.3005 Drammen;Omsorgsarbeider;Alle aldre;Privat sektor og offentlige foretak;8.0;8.0;8.0;8.0;8.0;8.0;8.0;13.0;8.0;8.0;8.0;7.0;8.0;8.0;9.0
K.3005 Drammen;Omsorgsarbeider;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3005 Drammen;Sykepleier;Alle aldre;Kommuneforvaltningen;498.0;509.0;553.0;559.0;596.0;630.0;647.0;606.0;633.0;631.0;619.0;631.0;632.0;694.0;655.0
K.3005 Drammen;Sykepleier;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3005 Drammen;Sykepleier;Alle aldre;Statsforvaltningen;846.0;917.0;941.0;982.0;1018.0;1058.0;1148.0;1215.0;1241.0;1249.0;1255.0;1276.0;1338.0;1344.0;1401.0
K.3005 Drammen;Sykepleier;Alle aldre;Privat sektor og offentlige foretak;70.5;70.5;70.5;70.5;70.5;70.5;70.5;79.0;70.0;76.0;67.0;66.0;70.5;70.5;71.0
